名称,处方,步骤,功效,用法用量,来源,药材
阿胶煎丸,伏道艾（取叶去梗，捣熟，筛去粗皮，只取艾茸，称取2两，米醋煮1伏时，候干研成膏），阿胶3两（炙），糯米（炒）1两，大附子（炮，去皮脐）1两，枳壳（去瓤，麸炒）1两。,上为末，入煎膏内杵匀为丸，如梧桐子大。,大补益虚损不足，滋助血海。主妇人血气久虚，孕胎不成。,每服30丸，空心温酒送下，午食前再服。忌藻菜、羊血、腥臊等物。,《幼幼新书》卷一引《灵苑方》,伏道艾/阿胶/糯米/大附子/枳壳
阿胶煎,阿胶2两（捣碎，炒令黄燥），薯蓣1两，白茯苓1两，天门冬1两半（去心，焙），贝母1两（煨微黄），酥1两，生地黄汁1升，生姜汁1合，白蜜2合，杏仁1两（汤浸，去皮尖双仁，麸炒微黄，研如膏）。,,久咳嗽，唾脓血。,上药前5味为末，与后5味相和于银器中，以慢火熬令得所，用不津器盛，含半枣大咽津，不拘时候。,《圣惠》卷四十六,阿胶/薯蓣/白茯苓/天门冬/贝母/酥/生地黄汁/生姜汁/白蜜/杏仁
阿胶济阴汤,阿胶 白术各3克 白芍 当归 川芎各3克 砂仁（带壳）1.5克 条芩 蕲艾各4.5克 香附2.4克 炙甘草1.5克 粘米1捏,,妊娠伤胎，致令子宫虚滑，经血淋漓者。,用水500毫升，煎至250毫升，温服。,《胎产秘书》卷上,阿胶/白术/白芍/当归/川芎/砂仁/条芩/蕲艾/香附/炙甘草/粘米
阿胶汤,阿胶（炙令燥，别捣末）人参各30克 干姜（炮）60克 远志（去心）120克 附子1枚（炮裂，去皮、脐）甘草（炙，锉）90克 大麻仁（烂研）175克,上七味，粗捣筛五味，与麻仁拌匀。,肾虚小便多。,每服18克，用水300毫升，煎至150毫升，去滓，入间胶末1.5克，更煎两沸，空腹时温服，一日三次。,《圣济总录》卷九十六,阿胶/人参/干姜/远志/附子/甘草/大麻仁
阿胶棋子,阿胶（炙燥，为末）1两，干姜（炮裂，为末）半两，薤白（煮烂，细研）7茎。,,泄痢。,上药以面5两拌和，薄切如棋子大，熟煮，空腹食之；少入五味调和亦得。,《圣济总录》卷一八九,阿胶/干姜/薤白
阿胶梅连丸,金井阿胶（净草灰炒透明白，别研，不细者再炒，研细）乌梅肉（去核，炒）黄柏（锉，炒）黄连 当归（焙）赤芍药 干姜（炮）赤茯苓各15克,上为末，入阿胶研匀，水为丸，如梧桐子大。,阴虚下痢五色，腹痛，至夜发热。,上药研末，入阿胶研匀，水丸，如梧桐子大，小儿丸如绿豆大。每次10丸，空腹时用温米饮送下，一昼夜五六服。,《宜明论方》卷十,金井/阿胶/乌梅肉/黄柏/黄连/当归/赤芍药/干姜/赤茯苓
阿胶枳壳圆,阿胶（碎炒）、枳壳（浸.去瓤.麸炒），各二两；滑石（研飞为衣）半两。,,治产后虚羸，大便秘涩。,每服二十圆，温水下，半日来未通再服。,《宋·太平惠民和剂局方》,阿胶/枳壳/滑石
阿胶枳壳丸,阿胶（碎，炒）枳壳（浸，去瓤，麸炒）各60克 滑石（研飞为衣）15克,上药研末，炼蜜为丸，如梧桐子大。,产后虚羸，大便秘涩。,每服20丸，温水送下。半日大便仍未通，再服。,《太平惠民和剂局方》卷九,阿胶/枳壳/滑石
阿胶散子,当归（锉碎，酒熬）、黄连（去毛，净洗）、诃子（煨，取肉）、阿胶（慢火炙令泡起即止）、甘草（浆水浸，炙之）各等分（上为细末），黄丹3两，白矾2两。,上二味相和，为细末，入瓶子内，以炭火断之，通炙良久，放冷即出，细并之，此药与前草药等，和合为散。,痢疾；兼治一切疮。,每服3钱匕，米饮调下。若要作丸子，以面糊为丸，如豌豆大。每服10丸。小儿疮，以人乳调涂，余疮干用。,《医方类聚》卷一三八引《四时纂要》,当归/黄连/诃子/阿胶/甘草/黄丹/白矾
阿胶散,阿胶23克（捣碎，炒令黄燥）白茯苓23克 白术23克 当归30克（锉，微炒）陈橘皮30克 （汤浸，去白、瓤，焙）芎藭23克 甘草7.5克（炙微赤，锉）,上为末。,妊娠胎动，腹中疠痛，不思饮食。,上药捣筛为散。每服9克，以水250毫升，加生姜4克，大枣3枚，煎至150毫升，去滓，不计时候，稍热服。补肺散（（小儿药证直诀》卷下）、补肺阿胶散（《医方集解》）。,《太平圣惠方》卷七十五,阿胶/白术/当归/芎藭/甘草
阿胶地黄汤,生干地黄120克 阿胶60克（捣碎，炒令黄燥）蒲黄60克,上为散。,热伤肺脏，唾血不止。,上药捣筛为散。每服9克，以水250毫升，入竹茹1鸡子大。煎至125毫升，去滓，食后温服。,《太平圣惠方》卷三十七。,生干地黄/阿胶
阿胶地黄丸,熟地膏（用熟地1斤，将8两煮汁，去滓，入8两汁内，煮烂成膏）、牡丹皮3两（焙），山茱萸4两（去核，酒拌蒸，晒干，炒），白茯苓3两（人乳拌透，晒干，焙），怀山药4两（炒黄），泽泻2两（淡盐水拌炒），麦门冬（去心）4两（炒），真阿胶3两（切块，蛤粉拌炒成珠）。,上为末，用熟地膏入药，炼蜜为丸。,金水两脏受伤，咳嗽吐血。,每服4钱，空心白汤或淡盐汤送下。,《冯氏锦囊·杂症》卷十一,熟地膏/牡丹皮/山茱萸/白茯苓/怀山药/泽泻/麦门冬/真阿胶
阿胶圆,麦门冬（去心）、丹参、贝母（炒）、防风（去芦.叉.头）、柏子仁、茯神（去木）、杜仲（去粗皮.炒）、百部根，各半两；干山药、阿胶（炒）、茯苓（去皮）、熟干地黄、五味子，各一两；远志（去心）、人参，各一分。,,治肺虚客热，咳嗽气急，胸中烦悸，肢体倦疼，咽干口燥，渴欲饮泠，多吐涎沫，或有鲜血，肌瘦发热，减食嗜卧。,每服一圆，水一中盏，煎至六分，和滓温服，少少频呷，不拘时候。每服一圆，水一中盏，煎至六分，和滓温服，少少频呷，不拘时候。,《宋·太平惠民和剂局方》,麦门冬/丹参/贝母/防风/柏子仁/茯神/杜仲/百部根/干山药/阿胶/茯苓/熟干地黄/五味子/远志/人参
阿胶四苓散,阿胶3两（蒲黄灰炒），茯苓1两半，白术1两半（炒），猪苓1两半，泽泻1两半。,制为散。,妊娠脾亏血热，扶湿热而血不归经，尿血不止，胎孕不安，脉弦涩者。,每服3钱，生地汁调下。方中白术健脾生血，以统妄行之血；茯苓渗湿和脾，以清湿热之气；猪苓利三焦之湿；泽泻泻膀胱之湿；阿胶补阴益血以止血也。生地汁调散，使湿热并化，则经气清和，而经血自归，无妄行之患。,《医略六书》卷二十八,阿胶/茯苓/白术/猪苓/泽泻
阿胶四物汤,阿胶、川芎、当归、白芍、地黄。,,血虚咳嗽。,,《杂病源流犀烛》卷一,阿胶/川芎/当归/白芍/地黄
阿胶养血汤,阿胶珠2钱，泡参3钱，干地黄3钱，麦冬2钱，女贞2钱，旱莲草（炒）2钱，桑寄生5钱。,,养血润燥。主阴虚血燥，妊娠3-4月，有时头晕目眩，心悸烦躁，腰酸腹胀，大便干燥，舌质红，苔光滑或黄燥，脉细数而滑。,水煎，温服。,《中医妇科治疗学》,阿胶珠/泡参/干地黄/麦冬/女贞/旱莲草/桑寄生
阿胶五苓散,五苓散加阿胶。,,扶气养血，温脬利尿。主转胞。,《中医妇科治疗学》本方用法：水煎，温服。,《金鉴》卷四十六,五苓散/阿胶
阿胶丹,真阿胶（炙熟）1两，干姜1两，芍药半两，当归（洗，焙干）半两，川黄连半两，肉豆蔻半两。,上为细末，炼蜜为丸，如黍米大。,小儿泄利身热，及暴泻注下。,每服10粒，粟米饮送下。,《幼幼新书》卷二十八引张涣方,真阿胶/干姜/芍药/当归/川黄连/肉豆蔻
阿胶丸,阿胶 赤石脂各45克 续断 川芎 当归 甘草 丹参各30克 龙骨 鹿茸（酥炙）乌贼骨 鳖甲（炙）各60克,上为细末，炼蜜为丸，如梧桐子大。,产后崩中，下血不止，虚羸无力。,空腹时用温酒送下20～30丸。,《妇人大全良方》卷二十二,阿胶/赤石脂/续断/川芎/当归/甘草/丹参/龙骨/鹿茸/乌贼骨/鳖甲
鄂诸小金丹,晚蚕砂（炒熟）、草乌头（生用）各等分。,上为未，生地龙为丸，如少则加醋糊为丸。,诸风。,每服4-5丸，白汤送下。多则麻人。,《朱氏集验方》卷一,晚蚕砂/草乌头
遏炎散,熟地1两，玄参5钱，地骨皮5钱，麦冬5钱，北五味子1钱，甘草1钱，贝母5分，炒枣仁5钱。,,妇人肾水亏虚，怀孕至三四月，自觉口干舌燥，咽喉微痛，无津以润，以致胎动不安，甚则血流如经水。,水煎服。,《辨证录》卷十二,熟地/玄参/地骨皮/麦冬/北五味子/甘草/贝母/炒枣仁
遏火汤,人参5钱，白术5钱，生地5钱，玄参1两，甘草1钱，知母1钱，天花粉2钱，陈皮5分，神曲1钱，丹皮5钱。,,忍饥过劳，伤胃动火，忽然发狂，披发裸形，罔知羞恶。,水煎服。,《辨证录》卷四,人参/白术/生地/玄参/甘草/知母/天花粉/陈皮/神曲/丹皮
遏汗丸,桑叶1斤，熟地2斤，北五味3两，麦冬6两。,上为末，炼蜜为丸。,滋肾清肺。主肾火有余，肾水不足，头顶汗出，徒用止汗之药，以致目昏而耳痛。,每日5钱或1两，白滚水送下。,《石室秘录》卷二,桑叶/熟地/北五味/麦冬
遏水至奇汤,人参3钱，莲子3钱，白果20个，茯苓3钱，甘草1钱，车前子3钱，肉桂3分，王不留行3钱。,,膀胱气化不利，小便不通，大便甚结者。,水煎服。,《石室秘录》卷三,人参/莲子/白果/茯苓/甘草/车前子/肉桂/王不留行
蛾黄散,黄柏（去皮）、寒水石（烧）各等分。,上为细末。,口疮，赤白疼痛，唇破；兼治热疮。,干贴患处。,《济生》卷五,黄柏/寒水石
莪术溃坚汤,莪术2分，红花2分，升麻2分，吴茱萸2分，生甘草3分，柴胡3分，泽泻3分，神曲3分，青皮3分，陈皮3分，黄芩3分，厚朴（生用）3分，黄连3分，益智仁3分，草豆蔻仁3分，半夏3分，当归3分。,上锉，如麻豆大。,中满腹胀，内有积聚，坚硬如石，其形如盘，令人不能坐卧，大小便涩滞，上喘气促，面色萎黄，通身虚肿。,水2大盏，煎至1盏，稍热服。2服之后，中满减半，有积不消，再服半夏厚朴汤。渴，加葛根4分。,《济阳纲目》卷三十九,莪术/红花/升麻/吴茱萸/生甘草/柴胡/泽泻/神曲/青皮/陈皮/黄芩/厚朴/黄连/益智仁/草豆蔻仁/半夏/当归
莪术汤,莪术、三棱、红花、苏木、牛膝。,,因伤食生冷，血滞不行，内有瘀血，经来一半，遍身潮热，头痛口渴，小便作痛。,水煎，空心服。,《竹林女科》卷一,莪术/三棱/红花/苏木/牛膝
莪术散,香附3两，当归（酒洗）1两，莪术（醋煨）1两，玄胡索1两，赤芍药1两，枳壳（麸炒）1两，熟地黄1两，青皮（去瓤）1两，白术（去芦）1两，黄芩1两，三棱（醋煨）8钱，小茴香（炒）8钱，砂仁8钱，干漆（炒尽烟）5钱，红花5钱，川芎8钱，甘草1钱。,上为细末。,逐去瘀血。主妇人38-39岁，经血断早，瘀血未尽，不时攻痛成疾，经水不行，腹中有块痛，头晕眼花，不思饮食。,每服2钱，空心好米酒调服。,《寿世保元》卷七,香附/当归/莪术/玄胡索/赤芍药/枳壳/熟地黄/青皮/白术/黄芩/三棱/小茴香/砂仁/干漆/红花/川芎/甘草
莪术丸,莪术（炮，锉）4两，三棱（炮，锉）4两，净香附4两（醇醋浸7日，慢火煮干再焙），槟榔1两（薄锉），生牵牛末1两（另研），青木香（去芦）半两，谷芽（净洗，焙干）半两，青皮（去白）半两，荜澄茄4钱，丁香4钱，南木香4钱。,上除槟榔、丁香、木香不过火及牵牛末，余7味锉、焙，仍同槟榔、木香为末，临入牵牛末和匀，水煮面糊为丸，如绿豆大。,和脾益胃，消进饮食，宽膈快气，悦色清神。主小儿宿食。,木香莪术丸（《中国医学大辞典》。,《准绳·幼科》卷八,莪术/三棱/净香附/槟榔/生牵牛末/青木香/谷芽/青皮/荜澄茄/丁香/南木香
耳鸣丸,大黄8两，山茱萸（制）8两，茯苓8两，泽泻8两，黄连10两，龙胆草10两，黄柏10两，栀子（炒）10两，黄芩10两，当归10两，龟版（炙）10两，熟地10两，山药10两，五味子（炙）2两，芦荟2两，磁石（煅）2两，木香3两，青黛5两。,上为细末，每136两细末兑麝香5钱，混合均匀研细，用冷开水泛为小丸，每16两用朱砂、赭石各半共3两5钱为衣闯亮。,滋阴清热。主肾水不足，肝热上升，耳鸣重听，大便秘结，小便赤黄。,每服2钱，温开水送下。忌辛辣、动火食物。孕妇忌服。,《北京市中药成方选集》,大黄/山茱萸/茯苓/泽泻/黄连/龙胆草/黄柏/栀子/黄芩/当归/龟版/熟地/山药/五味子/芦荟/磁石/木香/青黛
耳膏,乳香 蓖麻子 通草各15克 附子7.5克 磁石30克 巴豆24克 杏仁 桃仁各22.5克 松脂 蜡蜜各30克 菖蒲22.5克,上药合煎为膏。,主耳聋，耳内外肿胀出脓。,每用枣核大，绵裹塞耳内，一日一换。,《医方类聚》卷七十八引《御医撮要》,乳香/蓖麻子/通草/附子/磁石/巴豆/杏仁/桃仁/松脂/蜡蜜/菖蒲
耳脓独龙丹,生川乌（去皮脐）。,上为细末。,耳中脓血常流不息。,吹入耳中。数次即愈。,《吉人集验方》,生川乌
耳脓散,水龙骨（煅）3克 海螵蛸3克 飞青黛3克 枯矾1.5克 五倍子（炒黄）3克 煅黄鱼齿1.5克 细薄荷1.5克 梅片0.9克 川雅连0.9克 蛀竹屑0.9克 石榴花瓣（炙脆）3克,为极细末。,主耳疳，脓水不止。,用时取少许吹耳。,《青囊秘传》,水龙骨/海螵蛸/飞青黛/枯矾/五倍子/煅黄鱼齿/细薄荷/梅片/川雅连/蛀竹屑/石榴花瓣
耳聋鼠胆丹,活鼠1只（破腹取胆，真红色者是也），川乌头1个（水泡去皮），北细辛2钱，胆矾1钱5分。,上为极细末，以鼠胆和匀，焙干研细，入麝香1分。,耳久聋不愈。,口含茶满口吹入耳中，日吹2次。10日见功。,《吉人集验方》,活鼠/川乌头/北细辛/胆矾
耳聋神丹,鼠脑1个，青龙齿1分，朱砂1分，梅冰1分，净乳香1分，麝香1分，樟脑半分。,上为细末，用鼠脑为丸，如梧桐子大。,伤寒温热症愈后耳聋。,以丝绵包裹，纳入耳中。,《重订通俗伤寒论》,鼠脑/青龙齿/朱砂/梅冰/净乳香/麝香/樟脑
耳聋烧肾散,磁石1两（烧醋淬7遍，细研，水飞过），附子1两（炮裂，去皮脐），巴戟1两，川椒1两（去目及闭口者，微炒去汗）。,上为细散。,耳聋。,每服用猪肾1只（去筋膜，细切），葱白、薤白各1分（细切），入散药1钱，盐花1字，和搅令匀，以10重湿纸裹，于塘灰火内烧熟，空腹细嚼，酒解薄粥下之。10日效。,《圣惠》卷三十六,磁石/附子/巴戟/川椒
耳聋故纸丸,破故纸10两。,先用米泔水浸一夜，晒干；再用黄柏2钱煎水浸一夜，晒干；再用食盐2钱加水浸一夜，晒干；再用黑脂麻1斤，烧酒2斤，童便1斤，共煮干，取出再晒干炒香，取出故纸研末，不用脂麻，以陈米醋为丸，如绿豆大。,肾虚耳聋。,每服2钱，食后用杜仲（炒去丝）1钱，知母1钱，煎汤送下。,《吉人集验方》,破故纸
耳聋开窍神效丹,真灵磁石（小豆大）1粒，川山甲（烧研）2分。,,耳聋。,用棉裹塞入耳中，口含生铁1块，耳中如风雨声即通。,《吉人集验方》,真灵磁石/川山甲
耳聋左慈丸,磁石（煅）20g 熟地黄160g 山茱萸（制）80g 牡丹皮60g 山药80g 茯苓60g 泽泻60g 竹叶柴胡20g,炼蜜为丸。,滋肾平肝。用于肝肾阴虚，耳鸣耳聋，头晕目眩。,口服，水蜜丸一次6g，小蜜丸一次9g，大蜜丸一次1丸，一日2次。口服，水蜜丸一次6g，小蜜丸一次9g，大蜜丸一次1丸，一日2次。,《中国药典》,磁石/熟地黄/山茱萸/牡丹皮/山药/茯苓/泽泻/竹叶/柴胡
耳聋丸,巴豆2粒，全虫2个，麝香2厘，石菖蒲2寸。,蒜汁为丸，莲子大，丝绵裹好。,耳聋。,右聋塞左耳，左聋塞右耳，两耳俱聋者，次第塞之，日1易。,《青囊秘传》,巴豆/全虫/麝香/石菖蒲
耳疳散,麝香5厘，枯明矾2钱。,上为极细末。,耳流脓水。,原方有胭脂，近因失真，故已不用。麝香嫌贵，可用冰片，加煅五倍子更妙。并为外科药。,《丸散膏丹集成》引刘河间方,麝香/枯明矾
耳疳丸,白矾（枯）1.5克 麝香0.15克 胭脂胚0.75克 陈皮（烧灰）1.5克,作丸备用。,主耳疳，出脓及黄水。,先用棉签拭去脓，再将药丸送入耳内。,《摄生众妙方》卷九,白矾/麝香/胭脂胚/陈皮
耳疖散,老生姜5g，雄黄5g。,将老生姜挖一洞，然后装进雄黄粉末，再用挖出的生姜封紧洞口，放在陈瓦上，用炭火慢慢焙干，约7-8小时成金黄色，研粉，过80洞筛子，将粉装瓶备用。,耳疖。,用75％酒精清洁外耳道，3％双氧水清除干痂，用棉签涂药入外耳道，每天1次。,《中医皮肤病学简编》,老生姜/雄黄
